,0,1,2
Q1,-0.06646727405653499,0.03142285662419429,0.17511300491274664
Q3,0.09650833982507843,0.7654537523036586,-0.10202126850606937
Q5,-0.20319032170830365,-0.004923248324163443,0.1144491992134959
Q6,-0.18995797610122855,0.020069474595003856,0.39020684848446263
Q7,-0.19451205668516475,-0.03300691986853425,0.3116999900614955
Q8,0.13075409458479403,0.21004583627032689,-0.22698080572872317
Q10,-0.09680550434631319,-0.0010995624915061022,-0.07444474989646478
Q11,-0.4663989266474205,-0.21115698645608205,-0.35638895611664917
Q12,-0.532237393830607,-0.018795078565845738,-0.23569972680518875
Q13,-0.36956703172900984,0.0033396401265472614,-0.2480157648368988
Q14,0.08857570002024011,0.21518387401533756,-0.5442321129375409
Q15,0.4014474191973979,-0.5024365421194957,-0.3101313151572847
Q18,-0.18262974331892598,0.12379062865030394,0.04530274211538147
Q16=A,0.005783077444153142,0.006399763067961515,0.0003516926690537422
Q16=B,0.0396085054547996,-0.03439074683658266,-0.0039752457883538705
Q16=C,-0.04124784523621243,0.02372442346118687,0.00963671302616764
Q16=D,-0.00414373766274032,0.004266560307434197,-0.006013159906867493
Q17=A,0.009146282122922431,-0.016205355751473756,0.01501164142741492
Q17=B,-0.001051910071765245,0.006908330618443085,-0.009808391442175334
Q17=C,-0.006260019648499802,-0.006928193643707658,-0.007730001676309577
Q17=D,-0.0018343524026573613,0.016225218776738364,0.0025267516910699945
Q4=A,-0.00400679701158352,0.012894247389850885,0.008348758813947718
Q4=B,0.0019429089413049564,0.014028409447507528,0.00028055983944780705
Q4=C,0.026498265109187333,-0.05832826660023185,-0.0028128726780996707
Q4=D,-0.02443437703890878,0.03140560976287351,-0.005816445975295868
Q9=A,0.002221781208356461,-0.015046896227516836,0.00099748147635411
Q9=B,0.004039735500066231,-0.019311501816734303,0.0011492855303449358
Q9=C,0.0015216613816976606,0.022939331353898473,-0.01101026385292789
Q9=D,-0.007783178090120377,0.011419066690352525,0.008863496846228879
