politics,Cryptopunk,Degen,Earner,NPC,Techtrepreneur,All
Crypto-ancap,1.834862385321101,0.45871559633027525,1.146788990825688,1.3761467889908259,14.449541284403669,19.26605504587156
Crypto-leftist,0.6880733944954129,0.0,1.146788990825688,1.834862385321101,7.339449541284404,11.009174311926607
Crypto-libertarian,1.3761467889908259,1.146788990825688,4.587155963302752,6.422018348623854,28.211009174311926,41.74311926605505
DAOist,1.146788990825688,0.22935779816513763,0.9174311926605505,2.981651376146789,12.155963302752294,17.431192660550458
True neutral,0.6880733944954129,0.22935779816513763,1.3761467889908259,1.146788990825688,7.110091743119266,10.550458715596331
All,5.73394495412844,2.064220183486239,9.174311926605505,13.761467889908257,69.26605504587155,100.0
