politics,Gavinist,Noob,Szabian,Walchian,Zamfirist,All
Crypto-ancap,4.587155963302752,0.22935779816513763,10.091743119266056,0.6880733944954129,3.669724770642202,19.26605504587156
Crypto-leftist,2.981651376146789,0.0,0.6880733944954129,2.7522935779816518,4.587155963302752,11.009174311926607
Crypto-libertarian,17.889908256880734,0.6880733944954129,7.110091743119266,2.981651376146789,13.073394495412844,41.74311926605505
DAOist,7.110091743119266,0.0,1.834862385321101,2.522935779816514,5.963302752293578,17.431192660550458
True neutral,3.211009174311927,0.6880733944954129,0.9174311926605505,0.6880733944954129,5.045871559633028,10.550458715596331
All,35.77981651376147,1.6055045871559634,20.642201834862387,9.63302752293578,32.3394495412844,100.0
